cars_passed,lanes_crossed,max_speed,avg_speed,closest_same_lane,closest_any,crashed
2,16,29.94013559024471,22.925846093721777,20.711110311241324,1.9999667867194173,0
8,15,29.999999174374384,26.806812498540072,14.359554792835999,1.9999999999999973,0
1,16,29.553051806640177,21.799270468950244,13.800517605154136,3.483775257404626,0
2,3,25.0,24.898699669482543,0.1518742253114045,0.1518742253114045,1
5,6,29.999958687083883,24.640850567490002,12.721146726245387,1.9993145554894132,0
3,10,29.99495747956838,24.461043067026576,6.779233507993241,6.200572454111954,0
0,47,25.0,22.44573482521839,17.115376591570257,16.214533650191598,0
2,11,29.957755425237668,22.330810462162088,1.2333965199447867,1.2333965199447867,0
1,0,29.108975963372252,21.16984756002436,11.782214061009427,10.59397609323068,0
0,21,25.0,22.66678226039495,0.8386361384119514,0.8386361384119514,1
3,6,25.0,21.7219117190669,23.16306283774293,1.9980500712339433,0
0,4,27.388406294464264,21.98137341899071,30.18958877586992,8.04633459695154,0
4,47,29.99288026483706,24.78728199679449,1.9476766191356485,1.9476766191356485,0
0,28,28.792426873468667,20.64329477669952,4.235181302191188,3.64004487468986,0
4,18,29.915724707526948,23.576715505658804,12.648716075114004,5.9999999999999805,0
0,2,25.0,20.67161364037052,27.118495689616296,6.045544660587714,0
3,18,29.99968075894931,23.159214015986368,6.55757898633602,1.9999805059374252,0
2,21,29.998657829819752,23.329095411610464,6.480983515199862,1.9978629610482836,0
1,8,29.847588850601568,21.25722360073332,8.066017736858027,5.736562004951717,0
0,36,25.0,22.13332192583111,11.581550643892976,10.642725338291722,0
0,18,26.458772016460905,21.546995230019412,7.657588356811452,6.1109714910125055,0
1,23,29.83719744613111,22.232688896432087,9.030770366579778,9.030770366579778,0
2,30,29.958530020746142,22.675245579260853,5.8880714524131355,5.8880714524131355,0
1,17,26.41972657437614,22.199394514059364,9.846289658805606,9.846289658805606,0
2,14,29.37970187321674,21.35343110480322,4.777954373948337,2.0000000000000036,0
3,12,29.529749886924886,23.18253472789051,4.810351624200366,4.810351624200366,0
3,14,29.97995933473624,23.689052023816693,8.938507003230773,2.0000000000000098,0
5,1,29.99999491459754,24.548135604065983,13.19421841823555,1.999296711246858,0
8,5,29.999994904373317,23.457865575242494,6.901131104908208,6.901131104908208,0
0,93,25.0,21.13987036211032,7.4566710056391985,7.4566710056391985,0
2,17,29.55185916480376,22.650681238903477,7.160601883621544,7.160601883621544,0
4,22,29.913409738669532,22.753600862987554,3.16647819810418,3.16647819810418,0
2,30,29.9899473653177,22.926783831890408,15.104784138363955,9.974213574493506,0
8,13,29.999999037564653,25.708159678832025,6.061962965049059,1.99973574829701,0
7,12,29.999999979617034,25.669458810536646,1.3986748630709758,1.3986748630709758,0
0,1,25.0,21.406661460057006,29.926497422962328,11.815851508687265,0
7,29,29.999999918991254,25.297605547051756,4.889073824921532,4.889073824921532,0
1,35,27.417265024651766,21.206209931982066,7.267197129847716,7.094050329240705,0
3,21,29.9899473653177,25.35826286239391,15.142659759541077,10.000395226080332,0
3,28,29.88526527528586,23.817020099398814,7.59700565068824,5.993324206221677,0
3,1,29.892055474549384,22.508880531059166,18.436141970790533,5.999999999999966,0
1,8,27.343519323076592,21.70289815100685,11.295621657417763,11.2923014868229,0
0,51,25.0,22.398248480422353,15.769154286997022,15.769154286997022,0
2,3,29.144741650431474,21.953234915596948,78.2249494113803,10.938182972979524,0
2,39,29.7758055009339,23.391000690412568,7.924198398322229,2.0000034737202377,0
2,18,29.94585374956232,21.794067619732047,18.80553194427301,2.0,0
4,0,29.99878066331343,23.954554317407847,49.50753635449314,2.1011254890251507,0
2,22,29.930526995179992,24.20871548312936,4.901075705682926,3.20165860086325,0
1,10,26.458772016460905,22.388384262895695,4.302941583441762,4.302941583441762,0
3,15,29.989331874393905,23.19296312757947,13.440279362300698,10.855803620496847,0
3,6,29.995020730168136,23.74997504735949,4.515893828950531,3.3992188220640487,0
7,3,29.99039440097749,25.64025182889079,15.158045901517736,1.9999995964025037,0
6,8,29.982448183450888,23.120260858382974,7.4541656575745,5.999463187208979,0
4,18,29.92035168331781,23.454685962189487,4.924429682733395,4.663692763855367,0
2,9,28.118866441680776,21.173087849979897,16.00235582311298,1.9999930620780186,0
2,14,29.7758055009339,22.52353050160137,4.278574389669048,4.278574389669048,0
1,40,29.553051806640177,21.9608277065415,10.330951371751825,9.995342773907264,0
1,1,29.95782931935411,22.093112912077913,40.74485600046221,9.985770498683236,0
1,31,29.394268996929547,22.663149142864615,5.6568863952258,5.6568863952258,0
4,5,29.841215233230315,21.173097363766068,12.370849203544486,1.964476159707739,0
0,1,25.0,20.41150795979256,64.40119238068421,18.68992086042492,0
1,27,29.394599255848092,21.854759537675694,5.1348356596369005,5.1348356596369005,0
0,7,26.01183935597083,21.271383554796614,28.96885787014453,14.018315636240375,0
0,23,28.29531496370399,22.366413438661993,7.002753077902781,7.002753077902781,0
3,17,29.993166136640685,23.31844298634642,10.110359705307983,1.9999999999993503,0
0,33,25.527870374164827,21.8680118323539,3.4907802937326453,3.4907802937326453,0
1,38,25.0,21.477177655733207,9.190543054542617,8.158818916027734,0
3,2,29.94261274534827,22.022572510309356,5.6406960843332445,5.6406960843332445,0
1,3,27.491438897671216,20.88105357886098,131.13248838479535,16.480313490825093,0
1,28,29.841215233230315,22.538391109810572,7.848455558842443,1.9999864943954901,0
1,22,29.480555085463457,22.03386355315081,27.49701231044707,5.738867003801655,0
2,0,29.7758055009339,22.242383369386882,66.34025463866482,6.814174668754938,0
1,5,27.565876329530873,21.537335773703543,8.193244159700154,1.9999999999999845,0
3,1,29.871273273380446,22.497600664482107,57.74713306409217,5.999999801830946,0
0,21,25.0,21.68906390192918,16.98180442265534,6.945754695169577,0
6,29,29.99999906487763,24.120112101656137,2.7606575350981375,2.7606575350981375,0
4,20,29.97658160305998,23.82210329846533,2.054869696600632,2.054869696600632,0
1,4,25.0,21.00753444985878,19.19967466553439,19.19967466553439,0
2,35,29.89367664610557,23.278152938771186,2.524828928332233,2.524828928332233,0
1,47,29.83116260877236,22.847739504592415,6.28246728989788,5.835653346984767,0
4,10,29.99977389893156,23.5286379962727,2.3775926367814493,2.3775926367814493,0
4,17,29.943589430424648,23.88093526363916,7.013155944213156,1.9999767900400198,0
1,31,29.066580772522116,22.516717873113492,8.886424857587766,6.515171668103011,0
1,32,29.999969949195084,24.315333161469542,13.12112271870521,10.543238301293382,0
1,43,27.33838037168631,22.23268556739608,4.793326662094951,4.793326662094951,0
2,4,29.99495747956838,22.17708222114033,17.74965538347493,10.237302630311259,0
0,57,28.792426910459763,20.99698134287405,6.420427109829581,6.420427109829581,0
1,31,26.52445857824418,21.392008937114728,5.920365916371888,5.751989097006113,0
1,32,29.847589756844737,22.030421561070856,8.931711351208017,5.583082684557229,0
4,4,29.980763766640226,22.370827185261717,4.308013390944891,4.090305862591345,0
5,8,29.993171919236943,23.985099782003314,2.017609645866458,2.017609645866458,0
0,36,27.59269460204475,21.437997761000172,8.081504056794754,8.008230228898709,0
2,2,29.80654937431412,22.92595325101293,11.116844387616466,5.999419601145085,0
7,6,29.99732541213503,25.77463776317556,12.329556614236795,2.000000000000017,0
2,30,29.98579910930601,23.198399649418548,2.360725472573212,2.360725472573212,1
0,32,25.0,21.173083242388913,13.285400342822985,13.285400342822985,0
3,0,29.999101398618045,29.161678689108882,1.0316845657180806,1.0316845657180806,1
1,22,29.3942670398708,22.07520075752554,16.5660899680704,11.485753276846799,0
2,10,29.949526943005072,22.497539820107626,4.795059180338017,4.795059180338017,0
0,1,25.0,20.74261957143283,20.47963617824704,14.258803795108738,0
2,0,29.39442717495663,21.656095508954728,30.55992773081718,10.000000000000012,0
1,7,29.055369288895463,21.007534449858777,5.519102826048875,5.519102826048875,0
0,25,25.0,21.073759615416474,7.290675489291404,7.290675489291404,0
4,22,29.94585735127622,24.139077947230604,5.350781695560405,5.350781695560405,0
2,4,29.892058025447398,22.036351928638865,4.7204749714170475,4.7204749714170475,0
6,6,29.97170379123158,24.61627622489038,4.806141737616635,1.9998769940746528,0
0,18,25.0,21.206209341482236,12.617794847898503,6.996630578598404,0
1,23,25.0,20.80885895317004,1.732870232424677,1.732870232424677,0
5,4,29.98576416724657,24.279303641542228,41.29695043031657,1.9999999999979434,0
1,16,29.95012362082618,21.99519565439727,15.787831189087662,9.479762071843076,0
2,16,29.290396733467002,21.53733577436209,2.3072080856319452,2.0000564892384443,0
4,21,29.763358344374797,22.49727940733687,10.718232886956573,9.997255962880232,0
1,14,25.785297356355162,21.79433079087988,18.35224348496755,9.999999682983015,0
2,4,25.0,22.36793178604651,24.708893595488124,8.464183255907724,0
